country,sector,year,project_count,project_value_eur_millions
Austria,Recreation and Culture,2000,0,0.0
Austria,Recreation and Culture,2001,0,0.0
Austria,Recreation and Culture,2002,0,0.0
Austria,Recreation and Culture,2003,0,0.0
Austria,Recreation and Culture,2004,0,0.0
Austria,Recreation and Culture,2005,0,0.0
Austria,Recreation and Culture,2006,0,0.0
Austria,Recreation and Culture,2007,0,0.0
Austria,Recreation and Culture,2008,0,0.0
Austria,Recreation and Culture,2009,0,0.0
Austria,Recreation and Culture,2010,0,0.0
Austria,Recreation and Culture,2011,0,0.0
Austria,Recreation and Culture,2012,0,0.0
Austria,Recreation and Culture,2013,0,0.0
Austria,Recreation and Culture,2014,0,0.0
Austria,Recreation and Culture,2015,0,0.0
Austria,Recreation and Culture,2016,0,0.0
Austria,Recreation and Culture,2017,0,0.0
Austria,Recreation and Culture,2018,0,0.0
Austria,Recreation and Culture,2019,0,0.0
Austria,Recreation and Culture,2020,0,0.0
Austria,Recreation and Culture,2021,0,0.0
Austria,Telcos,1990,0,0.0
Austria,Telcos,1991,0,0.0
Austria,Telcos,1992,0,0.0
Austria,Telcos,1993,0,0.0
Austria,Telcos,1994,0,0.0
Austria,Telcos,1995,0,0.0
Austria,Telcos,1996,0,0.0
Austria,Telcos,1997,0,0.0
Austria,Telcos,1998,0,0.0
Austria,Telcos,1999,0,0.0
Austria,Telcos,2000,0,0.0
Austria,Telcos,2001,0,0.0
Austria,Telcos,2002,0,0.0
Austria,Telcos,2003,0,0.0
Austria,Telcos,2004,0,0.0
Austria,Telcos,2005,0,0.0
Austria,Telcos,2006,0,0.0
Austria,Telcos,2007,0,0.0
Austria,Telcos,2008,0,0.0
Austria,Telcos,2009,0,0.0
Austria,Telcos,2010,0,0.0
Austria,Telcos,2011,0,0.0
Austria,Telcos,2012,0,0.0
Austria,Telcos,2013,0,0.0
Austria,Telcos,2014,0,0.0
Austria,Telcos,2015,0,0.0
Austria,Telcos,2016,0,0.0
Austria,Telcos,2017,0,0.0
Austria,Telcos,2018,1,112.0
Austria,Telcos,2019,0,0.0
Austria,Telcos,2020,0,0.0
Austria,Telcos,2021,0,0.0
Austria,Transport,1990,0,0.0
Austria,Transport,1991,0,0.0
Austria,Transport,1992,0,0.0
Austria,Transport,1993,0,0.0
Austria,Transport,1994,0,0.0
Austria,Transport,1995,0,0.0
Austria,Transport,1996,0,0.0
Austria,Transport,1997,0,0.0
Austria,Transport,1998,0,0.0
Austria,Transport,1999,0,0.0
Austria,Transport,2000,0,0.0
Austria,Transport,2001,0,0.0
Austria,Transport,2002,0,0.0
Austria,Transport,2003,0,0.0
Austria,Transport,2004,1,260.0
Austria,Transport,2005,0,0.0
Austria,Transport,2006,1,975.0
Austria,Transport,2007,0,0.0
Austria,Transport,2008,0,0.0
Austria,Transport,2009,0,0.0
Austria,Transport,2010,1,38.0
Austria,Transport,2011,0,0.0
Austria,Transport,2012,0,0.0
Austria,Transport,2013,1,114.0
Austria,Transport,2014,1,66.0
Austria,Transport,2015,0,0.0
Austria,Transport,2016,0,0.0
Austria,Transport,2017,0,0.0
Austria,Transport,2018,0,0.0
Austria,Transport,2019,0,0.0
Austria,Transport,2020,0,0.0
Austria,Transport,2021,0,0.0
Belgium,Defence,1990,0,0.0
Belgium,Defence,1991,0,0.0
Belgium,Defence,1992,0,0.0
Belgium,Defence,1993,0,0.0
Belgium,Defence,1994,0,0.0
Belgium,Defence,1995,0,0.0
Belgium,Defence,1996,0,0.0
Belgium,Defence,1997,0,0.0
Belgium,Defence,1998,0,0.0
Belgium,Defence,1999,0,0.0
Belgium,Defence,2000,0,0.0
Belgium,Defence,2001,0,0.0
Belgium,Defence,2002,0,0.0
Belgium,Defence,2003,0,0.0
Belgium,Defence,2004,0,0.0
Belgium,Defence,2005,0,0.0
Belgium,Defence,2006,0,0.0
Belgium,Defence,2007,0,0.0
Belgium,Defence,2008,0,0.0
Belgium,Defence,2009,0,0.0
Belgium,Defence,2010,0,0.0
Belgium,Defence,2011,0,0.0
Belgium,Defence,2012,0,0.0
Belgium,Defence,2013,0,0.0
Belgium,Defence,2014,0,0.0
Belgium,Defence,2015,0,0.0
Belgium,Defence,2016,0,0.0
Belgium,Defence,2017,0,0.0
Belgium,Defence,2018,0,0.0
Belgium,Defence,2019,1,60.0
Belgium,Defence,2020,0,0.0
Belgium,Defence,2021,0,0.0
Belgium,Education,1990,0,0.0
Belgium,Education,1991,0,0.0
Belgium,Education,1992,0,0.0
Belgium,Education,1993,0,0.0
Belgium,Education,1994,0,0.0
Belgium,Education,1995,0,0.0
Belgium,Education,1996,0,0.0
Belgium,Education,1997,0,0.0
Belgium,Education,1998,0,0.0
Belgium,Education,1999,0,0.0
Belgium,Education,2000,0,0.0
Belgium,Education,2001,0,0.0
Belgium,Education,2002,0,0.0
Belgium,Education,2003,0,0.0
Belgium,Education,2004,0,0.0
Belgium,Education,2005,0,0.0
Belgium,Education,2006,0,0.0
Belgium,Education,2007,0,0.0
Belgium,Education,2008,0,0.0
Belgium,Education,2009,1,43.0
Belgium,Education,2010,2,1646.0
Belgium,Education,2011,0,0.0
Belgium,Education,2012,0,0.0
Belgium,Education,2013,1,54.0
Belgium,Education,2014,0,0.0
Belgium,Education,2015,0,0.0
Belgium,Education,2016,0,0.0
Belgium,Education,2017,0,0.0
Belgium,Education,2018,0,0.0
Belgium,Education,2019,0,0.0
Belgium,Education,2020,0,0.0
Belgium,Education,2021,0,0.0
Belgium,Environment,1990,0,0.0
Belgium,Environment,1991,0,0.0
Belgium,Environment,1992,0,0.0
Belgium,Environment,1993,0,0.0
Belgium,Environment,1994,0,0.0
Belgium,Environment,1995,0,0.0
Belgium,Environment,1996,0,0.0
Belgium,Environment,1997,0,0.0
Belgium,Environment,1998,0,0.0
Belgium,Environment,1999,0,0.0
Belgium,Environment,2000,0,0.0
Belgium,Environment,2001,0,0.0
Belgium,Environment,2002,0,0.0
Belgium,Environment,2003,0,0.0
Belgium,Environment,2004,0,0.0
Belgium,Environment,2005,0,0.0
Belgium,Environment,2006,1,317.0
Belgium,Environment,2007,0,0.0
Belgium,Environment,2008,0,0.0
Belgium,Environment,2009,0,0.0
Belgium,Environment,2010,0,0.0
Belgium,Environment,2011,0,0.0
Belgium,Environment,2012,0,0.0
Belgium,Environment,2013,0,0.0
Belgium,Environment,2014,0,0.0
Belgium,Environment,2015,0,0.0
Belgium,Environment,2016,0,0.0
Belgium,Environment,2017,0,0.0
Belgium,Environment,2018,0,0.0
Belgium,Environment,2019,0,0.0
Belgium,Environment,2020,0,0.0
Belgium,Environment,2021,0,0.0
Belgium,General Public Services,1990,0,0.0
Belgium,General Public Services,1991,0,0.0
Belgium,General Public Services,1992,0,0.0
Belgium,General Public Services,1993,0,0.0
Belgium,General Public Services,1994,0,0.0
Belgium,General Public Services,1995,0,0.0
Belgium,General Public Services,1996,0,0.0
Belgium,General Public Services,1997,0,0.0
Belgium,General Public Services,1998,0,0.0
Belgium,General Public Services,1999,0,0.0
Belgium,General Public Services,2000,0,0.0
Belgium,General Public Services,2001,0,0.0
Belgium,General Public Services,2002,0,0.0
Belgium,General Public Services,2003,0,0.0
Belgium,General Public Services,2004,0,0.0
Belgium,General Public Services,2005,0,0.0
Belgium,General Public Services,2006,0,0.0
Belgium,General Public Services,2007,0,0.0
Belgium,General Public Services,2008,0,0.0
Belgium,General Public Services,2009,0,0.0
Belgium,General Public Services,2010,0,0.0
Belgium,General Public Services,2011,0,0.0
Belgium,General Public Services,2012,0,0.0
Belgium,General Public Services,2013,0,0.0
Belgium,General Public Services,2014,0,0.0
Belgium,General Public Services,2015,0,0.0
Belgium,General Public Services,2016,0,0.0
Belgium,General Public Services,2017,0,0.0
Belgium,General Public Services,2018,0,0.0
Belgium,General Public Services,2019,0,0.0
Belgium,General Public Services,2020,0,0.0
Belgium,General Public Services,2021,0,0.0
Belgium,Healthcare,1990,0,0.0
Belgium,Healthcare,1991,0,0.0
Belgium,Healthcare,1992,0,0.0
Belgium,Healthcare,1993,0,0.0
Belgium,Healthcare,1994,0,0.0
Belgium,Healthcare,1995,0,0.0
Belgium,Healthcare,1996,0,0.0
Belgium,Healthcare,1997,0,0.0
Belgium,Healthcare,1998,0,0.0
Belgium,Healthcare,1999,0,0.0
Belgium,Healthcare,2000,0,0.0
Belgium,Healthcare,2001,0,0.0
Belgium,Healthcare,2002,0,0.0
Belgium,Healthcare,2003,0,0.0
Belgium,Healthcare,2004,0,0.0
Belgium,Healthcare,2005,0,0.0
Belgium,Healthcare,2006,0,0.0
Belgium,Healthcare,2007,0,0.0
Belgium,Healthcare,2008,0,0.0
Belgium,Healthcare,2009,0,0.0
Belgium,Healthcare,2010,0,0.0
Belgium,Healthcare,2011,0,0.0
Belgium,Healthcare,2012,0,0.0
Belgium,Healthcare,2013,0,0.0
Belgium,Healthcare,2014,0,0.0
Belgium,Healthcare,2015,0,0.0
Belgium,Healthcare,2016,0,0.0
Belgium,Healthcare,2017,0,0.0
Belgium,Healthcare,2018,0,0.0
Belgium,Healthcare,2019,0,0.0
Belgium,Healthcare,2020,0,0.0
Belgium,Healthcare,2021,0,0.0
Belgium,Housing and Community Services,1990,0,0.0
Belgium,Housing and Community Services,1991,0,0.0
Belgium,Housing and Community Services,1992,0,0.0
Belgium,Housing and Community Services,1993,0,0.0
Belgium,Housing and Community Services,1994,0,0.0
Belgium,Housing and Community Services,1995,0,0.0
Belgium,Housing and Community Services,1996,0,0.0
Belgium,Housing and Community Services,1997,0,0.0
Belgium,Housing and Community Services,1998,0,0.0
Belgium,Housing and Community Services,1999,0,0.0
Belgium,Housing and Community Services,2000,0,0.0
Belgium,Housing and Community Services,2001,0,0.0
Belgium,Housing and Community Services,2002,0,0.0
Belgium,Housing and Community Services,2003,0,0.0
Belgium,Housing and Community Services,2004,0,0.0
Belgium,Housing and Community Services,2005,0,0.0
Belgium,Housing and Community Services,2006,0,0.0
Belgium,Housing and Community Services,2007,0,0.0
Belgium,Housing and Community Services,2008,0,0.0
Belgium,Housing and Community Services,2009,0,0.0
Belgium,Housing and Community Services,2010,0,0.0
Belgium,Housing and Community Services,2011,0,0.0
Belgium,Housing and Community Services,2012,0,0.0
Belgium,Housing and Community Services,2013,0,0.0
Belgium,Housing and Community Services,2014,0,0.0
Belgium,Housing and Community Services,2015,0,0.0
Belgium,Housing and Community Services,2016,0,0.0
Belgium,Housing and Community Services,2017,0,0.0
Belgium,Housing and Community Services,2018,0,0.0
Belgium,Housing and Community Services,2019,0,0.0
Belgium,Housing and Community Services,2020,0,0.0
Belgium,Housing and Community Services,2021,0,0.0
Belgium,Public Order and Safety,1990,0,0.0
Belgium,Public Order and Safety,1991,0,0.0
Belgium,Public Order and Safety,1992,0,0.0
Belgium,Public Order and Safety,1993,0,0.0
Belgium,Public Order and Safety,1994,0,0.0
Belgium,Public Order and Safety,1995,0,0.0
Belgium,Public Order and Safety,1996,0,0.0
Belgium,Public Order and Safety,1997,0,0.0
Belgium,Public Order and Safety,1998,0,0.0
Belgium,Public Order and Safety,1999,0,0.0
Belgium,Public Order and Safety,2000,0,0.0
Belgium,Public Order and Safety,2001,0,0.0
Belgium,Public Order and Safety,2002,0,0.0
Belgium,Public Order and Safety,2003,0,0.0
Belgium,Public Order and Safety,2004,0,0.0
Belgium,Public Order and Safety,2005,0,0.0
Belgium,Public Order and Safety,2006,0,0.0
Belgium,Public Order and Safety,2007,0,0.0
Belgium,Public Order and Safety,2008,0,0.0
Belgium,Public Order and Safety,2009,0,0.0
Belgium,Public Order and Safety,2010,0,0.0
Belgium,Public Order and Safety,2011,5,500.0
Belgium,Public Order and Safety,2012,0,0.0
Belgium,Public Order and Safety,2013,0,0.0
Belgium,Public Order and Safety,2014,0,0.0
Belgium,Public Order and Safety,2015,0,0.0
Belgium,Public Order and Safety,2016,0,0.0
Belgium,Public Order and Safety,2017,1,115.0
Belgium,Public Order and Safety,2018,1,400.0
Belgium,Public Order and Safety,2019,0,0.0
Belgium,Public Order and Safety,2020,0,0.0
Belgium,Public Order and Safety,2021,0,0.0
Belgium,RDI,1990,0,0.0
Belgium,RDI,1991,0,0.0
Belgium,RDI,1992,0,0.0
Belgium,RDI,1993,0,0.0
Belgium,RDI,1994,0,0.0
Belgium,RDI,1995,0,0.0
Belgium,RDI,1996,0,0.0
Belgium,RDI,1997,0,0.0
Belgium,RDI,1998,0,0.0
Belgium,RDI,1999,0,0.0
Belgium,RDI,2000,0,0.0
Belgium,RDI,2001,0,0.0
Belgium,RDI,2002,0,0.0
Belgium,RDI,2003,0,0.0
Belgium,RDI,2004,0,0.0
Belgium,RDI,2005,0,0.0
Belgium,RDI,2006,0,0.0
Belgium,RDI,2007,0,0.0
Belgium,RDI,2008,0,0.0
Belgium,RDI,2009,0,0.0
Belgium,RDI,2010,0,0.0
Belgium,RDI,2011,0,0.0
Belgium,RDI,2012,0,0.0
Belgium,RDI,2013,0,0.0
Belgium,RDI,2014,0,0.0
Belgium,RDI,2015,0,0.0
Belgium,RDI,2016,0,0.0
Belgium,RDI,2017,0,0.0
Belgium,RDI,2018,0,0.0
Belgium,RDI,2019,0,0.0
Belgium,RDI,2020,0,0.0
Belgium,RDI,2021,0,0.0
Belgium,Recreation and Culture,1990,0,0.0
Belgium,Recreation and Culture,1991,0,0.0
Belgium,Recreation and Culture,1992,0,0.0
Belgium,Recreation and Culture,1993,0,0.0
Belgium,Recreation and Culture,1994,0,0.0
Belgium,Recreation and Culture,1995,0,0.0
Belgium,Recreation and Culture,1996,0,0.0
Belgium,Recreation and Culture,1997,0,0.0
Belgium,Recreation and Culture,1998,0,0.0
Belgium,Recreation and Culture,1999,0,0.0
Belgium,Recreation and Culture,2000,0,0.0
Belgium,Recreation and Culture,2001,0,0.0
Belgium,Recreation and Culture,2002,0,0.0
Belgium,Recreation and Culture,2003,0,0.0
Belgium,Recreation and Culture,2004,0,0.0
Belgium,Recreation and Culture,2005,0,0.0
Belgium,Recreation and Culture,2006,0,0.0
Belgium,Recreation and Culture,2007,0,0.0
Belgium,Recreation and Culture,2008,0,0.0
Belgium,Recreation and Culture,2009,0,0.0
Belgium,Recreation and Culture,2010,1,22.0
Belgium,Recreation and Culture,2011,0,0.0
Belgium,Recreation and Culture,2012,1,30.0
Belgium,Recreation and Culture,2013,0,0.0
Belgium,Recreation and Culture,2014,1,17.0
Belgium,Recreation and Culture,2015,1,12.0
Belgium,Recreation and Culture,2016,0,0.0
Belgium,Recreation and Culture,2017,0,0.0
Belgium,Recreation and Culture,2018,0,0.0
Belgium,Recreation and Culture,2019,0,0.0
Belgium,Recreation and Culture,2020,0,0.0
Belgium,Recreation and Culture,2021,0,0.0
Belgium,Telcos,1990,0,0.0
Belgium,Telcos,1991,0,0.0
Belgium,Telcos,1992,0,0.0
Belgium,Telcos,1993,0,0.0
Belgium,Telcos,1994,0,0.0
Belgium,Telcos,1995,0,0.0
Belgium,Telcos,1996,0,0.0
Belgium,Telcos,1997,0,0.0
Belgium,Telcos,1998,0,0.0
Belgium,Telcos,1999,0,0.0
Belgium,Telcos,2000,0,0.0
Belgium,Telcos,2001,0,0.0
Belgium,Telcos,2002,0,0.0
Belgium,Telcos,2003,0,0.0
Belgium,Telcos,2004,0,0.0
Belgium,Telcos,2005,0,0.0
Belgium,Telcos,2006,0,0.0
Belgium,Telcos,2007,0,0.0
Belgium,Telcos,2008,0,0.0
Belgium,Telcos,2009,0,0.0
Belgium,Telcos,2010,0,0.0
Belgium,Telcos,2011,0,0.0
Belgium,Telcos,2012,0,0.0
Belgium,Telcos,2013,0,0.0
Belgium,Telcos,2014,0,0.0
Belgium,Telcos,2015,0,0.0
Belgium,Telcos,2016,0,0.0
Belgium,Telcos,2017,0,0.0
Belgium,Telcos,2018,0,0.0
Belgium,Telcos,2019,0,0.0
Belgium,Telcos,2020,0,0.0
Belgium,Telcos,2021,0,0.0
Belgium,Transport,1990,0,0.0
Belgium,Transport,1991,0,0.0
Belgium,Transport,1992,0,0.0
Belgium,Transport,1993,0,0.0
Belgium,Transport,1994,0,0.0
Belgium,Transport,1995,0,0.0
Belgium,Transport,1996,0,0.0
Belgium,Transport,1997,0,0.0
Belgium,Transport,1998,0,0.0
Belgium,Transport,1999,0,0.0
Belgium,Transport,2000,0,0.0
Belgium,Transport,2001,0,0.0
Belgium,Transport,2002,0,0.0
Belgium,Transport,2003,0,0.0
Belgium,Transport,2004,0,0.0
Belgium,Transport,2005,1,203.0
Belgium,Transport,2006,0,0.0
Belgium,Transport,2007,2,407.0
Belgium,Transport,2008,1,636.0
Belgium,Transport,2009,1,180.0
Belgium,Transport,2010,1,38.0
Belgium,Transport,2011,1,195.0
Belgium,Transport,2012,2,206.0
Belgium,Transport,2013,0,0.0
Belgium,Transport,2014,2,1411.0
Belgium,Transport,2015,2,297.0
Belgium,Transport,2016,0,0.0
Belgium,Transport,2017,1,83.0
Belgium,Transport,2018,0,0.0
Belgium,Transport,2019,3,897.0
Belgium,Transport,2020,0,0.0
Belgium,Transport,2021,0,0.0
Bulgaria,Defence,1990,0,0.0
Bulgaria,Defence,1991,0,0.0
Bulgaria,Defence,1992,0,0.0
Bulgaria,Defence,1993,0,0.0
Bulgaria,Defence,1994,0,0.0
Bulgaria,Defence,1995,0,0.0
Bulgaria,Defence,1996,0,0.0
Bulgaria,Defence,1997,0,0.0
Bulgaria,Defence,1998,0,0.0
Bulgaria,Defence,1999,0,0.0
Bulgaria,Defence,2000,0,0.0
Bulgaria,Defence,2001,0,0.0
Bulgaria,Defence,2002,0,0.0
Bulgaria,Defence,2003,0,0.0
Bulgaria,Defence,2004,0,0.0
Bulgaria,Defence,2005,0,0.0
Bulgaria,Defence,2006,0,0.0
Bulgaria,Defence,2007,0,0.0
Bulgaria,Defence,2008,0,0.0
Bulgaria,Defence,2009,0,0.0
Bulgaria,Defence,2010,0,0.0
